,dataset,sample,n_reads,n_cells,method,runtime
0,pancreas,pancreas,556154708,13041,tidesurf,0 days 04:42:05
1,retina,F2,164215356,3611,tidesurf,0 days 01:02:57
2,stewart,Classical-Memory,110473261,1992,tidesurf,0 days 00:38:12
3,stewart,DN,122966395,3391,tidesurf,0 days 00:48:50
4,stewart,Transitional,146347020,971,tidesurf,0 days 01:02:33
5,stewart,Naive,184141507,1456,tidesurf,0 days 01:07:29
6,stewart,IgM-Memory,168970455,1243,tidesurf,0 days 00:50:05
7,fu,MJ009,227103749,6483,tidesurf,0 days 02:03:26
8,fu,MJ007,322934317,12656,tidesurf,0 days 03:09:49
9,fu,MJ006,261601723,10320,tidesurf,0 days 02:33:38
10,fu,MJ001,426735085,4063,tidesurf,0 days 02:12:36
11,fu,MJ008,216704939,4023,tidesurf,0 days 01:51:22
12,fu,MJ016,371183893,3257,tidesurf,0 days 02:25:15
13,fu,MJ018,149919952,5876,tidesurf,0 days 01:40:37
14,fu,MJ019,276018086,6971,tidesurf,0 days 03:01:29
15,fu,MJ017,312358938,5383,tidesurf,0 days 02:01:44
16,fu,MJ003,422757659,3813,tidesurf,0 days 03:19:22
17,fu,MJ002,535993226,4276,tidesurf,0 days 04:24:44
18,fu,MJ005,297011021,35195,tidesurf,0 days 03:24:04
19,pancreas,pancreas,556154708,13041,velocyto,1 days 03:53:00
20,retina,F2,164215356,3611,velocyto,0 days 06:29:00
21,stewart,Classical-Memory,110473261,1992,velocyto,0 days 03:20:19
22,stewart,DN,122966395,3391,velocyto,0 days 03:46:26
23,stewart,Transitional,146347020,971,velocyto,0 days 04:58:43
24,stewart,Naive,184141507,1456,velocyto,0 days 05:46:09
25,stewart,IgM-Memory,168970455,1243,velocyto,0 days 04:41:15
26,fu,MJ009,227103749,6483,velocyto,
27,fu,MJ007,322934317,12656,velocyto,
28,fu,MJ006,261601723,10320,velocyto,
29,fu,MJ001,426735085,4063,velocyto,0 days 13:26:43
30,fu,MJ008,216704939,4023,velocyto,
31,fu,MJ016,371183893,3257,velocyto,
32,fu,MJ018,149919952,5876,velocyto,
33,fu,MJ019,276018086,6971,velocyto,
34,fu,MJ017,312358938,5383,velocyto,
35,fu,MJ003,422757659,3813,velocyto,
36,fu,MJ002,535993226,4276,velocyto,0 days 19:05:42
37,fu,MJ005,297011021,35195,velocyto,
