,dataset,sample,replicate,n_reads,n_cells,method,runtime,memory
0,fu,MJ016,1,371183893,3257,starsolo,0 days 00:13:27,16.46
1,fu,MJ006,3,261601723,10320,starsolo,0 days 00:25:08,16.47
2,fu,MJ006,5,261601723,10320,velocyto,0 days 02:23:28,69.23
3,fu,MJ006,2,261601723,10320,velocyto,0 days 02:23:32,72.28
4,retina,F2,2,164215356,3611,velocyto,0 days 00:54:24,68.40
5,stewart,Classical-Memory,5,110473261,1992,velocyto,0 days 00:16:57,61.06
6,pancreas,pancreas,2,556154708,13041,alevin-fry,0 days 00:19:36,7.36
7,fu,MJ016,4,371183893,3257,alevin-fry,0 days 00:07:35,10.48
8,stewart,Classical-Memory,1,110473261,1992,tidesurf,0 days 00:15:50,11.09
9,stewart,Classical-Memory,1,110473261,1992,starsolo,0 days 00:04:38,16.23
10,retina,F2,4,164215356,3611,velocyto,0 days 00:54:16,71.28
11,stewart,Classical-Memory,2,110473261,1992,alevin-fry,0 days 00:02:57,10.25
12,stewart,Classical-Memory,4,110473261,1992,tidesurf,0 days 00:15:50,10.74
13,fu,MJ006,3,261601723,10320,tidesurf,0 days 01:22:17,32.24
14,fu,MJ006,2,261601723,10320,tidesurf,0 days 01:26:01,31.58
15,fu,MJ006,1,261601723,10320,alevin-fry,0 days 00:08:15,10.76
16,retina,F2,5,164215356,3611,alevin-fry,0 days 00:07:12,7.39
17,stewart,Classical-Memory,3,110473261,1992,velocyto,0 days 00:17:05,59.53
18,retina,F2,2,164215356,3611,tidesurf,0 days 00:30:53,19.08
19,stewart,Classical-Memory,4,110473261,1992,velocyto,0 days 00:17:01,59.53
20,pancreas,pancreas,5,556154708,13041,tidesurf,0 days 04:04:39,92.90
21,pancreas,pancreas,4,556154708,13041,starsolo,0 days 00:33:07,15.40
22,pancreas,pancreas,5,556154708,13041,starsolo,0 days 00:34:10,15.44
23,stewart,Classical-Memory,5,110473261,1992,tidesurf,0 days 00:15:34,11.01
24,stewart,Classical-Memory,2,110473261,1992,starsolo,0 days 00:04:40,16.24
25,retina,F2,3,164215356,3611,velocyto,0 days 00:53:42,71.28
26,stewart,Classical-Memory,1,110473261,1992,alevin-fry,0 days 00:02:57,10.23
27,stewart,Classical-Memory,3,110473261,1992,tidesurf,0 days 00:15:52,10.94
28,fu,MJ016,5,371183893,3257,alevin-fry,0 days 00:07:33,10.43
29,stewart,Classical-Memory,2,110473261,1992,tidesurf,0 days 00:15:50,11.72
30,pancreas,pancreas,1,556154708,13041,velocyto,0 days 05:27:39,70.39
31,pancreas,pancreas,1,556154708,13041,alevin-fry,0 days 00:19:36,7.36
32,retina,F2,1,164215356,3611,velocyto,0 days 00:54:05,71.28
33,stewart,Classical-Memory,5,110473261,1992,alevin-fry,0 days 00:02:49,10.25
34,fu,MJ006,3,261601723,10320,velocyto,0 days 02:24:42,71.44
35,fu,MJ006,4,261601723,10320,velocyto,0 days 02:24:20,71.44
36,fu,MJ006,4,261601723,10320,starsolo,0 days 00:24:25,16.46
37,fu,MJ006,5,261601723,10320,starsolo,0 days 00:24:20,16.44
38,retina,F2,1,164215356,3611,starsolo,0 days 00:08:25,14.45
39,stewart,Classical-Memory,5,110473261,1992,starsolo,0 days 00:04:54,16.01
40,retina,F2,1,164215356,3611,tidesurf,0 days 00:29:17,20.46
41,pancreas,pancreas,3,556154708,13041,starsolo,0 days 00:33:06,15.44
42,retina,F2,3,164215356,3611,tidesurf,0 days 00:29:03,20.42
43,stewart,Classical-Memory,2,110473261,1992,velocyto,0 days 00:17:01,59.53
44,retina,F2,4,164215356,3611,alevin-fry,0 days 00:07:12,7.43
45,fu,MJ006,2,261601723,10320,alevin-fry,0 days 00:08:15,10.82
46,fu,MJ006,1,261601723,10320,tidesurf,0 days 01:21:29,31.32
47,fu,MJ006,4,261601723,10320,tidesurf,0 days 01:21:57,32.00
48,pancreas,pancreas,3,556154708,13041,tidesurf,0 days 04:07:39,92.15
49,pancreas,pancreas,2,556154708,13041,starsolo,0 days 00:34:13,15.40
50,retina,F2,2,164215356,3611,starsolo,0 days 00:08:04,15.01
51,pancreas,pancreas,2,556154708,13041,tidesurf,0 days 04:06:58,92.46
52,retina,F2,4,164215356,3611,starsolo,0 days 00:08:08,14.99
53,stewart,Classical-Memory,1,110473261,1992,velocyto,0 days 00:17:07,59.53
54,fu,MJ006,3,261601723,10320,alevin-fry,0 days 00:08:00,10.74
55,retina,F2,3,164215356,3611,alevin-fry,0 days 00:07:10,7.38
56,fu,MJ016,2,371183893,3257,tidesurf,0 days 01:10:03,39.50
57,fu,MJ006,5,261601723,10320,tidesurf,0 days 01:21:58,31.83
58,retina,F2,5,164215356,3611,tidesurf,0 days 00:29:24,19.18
59,fu,MJ006,5,261601723,10320,alevin-fry,0 days 00:08:11,10.82
60,fu,MJ016,2,371183893,3257,alevin-fry,0 days 00:07:35,10.47
61,retina,F2,1,164215356,3611,alevin-fry,0 days 00:06:48,7.39
62,fu,MJ016,4,371183893,3257,tidesurf,0 days 01:09:37,39.57
63,stewart,Classical-Memory,3,110473261,1992,starsolo,0 days 00:04:38,16.25
64,stewart,Classical-Memory,4,110473261,1992,alevin-fry,0 days 00:02:54,10.25
65,pancreas,pancreas,5,556154708,13041,velocyto,0 days 04:23:28,70.33
66,pancreas,pancreas,2,556154708,13041,velocyto,0 days 04:26:29,70.40
67,pancreas,pancreas,4,556154708,13041,alevin-fry,0 days 00:19:20,7.29
68,fu,MJ016,2,371183893,3257,velocyto,0 days 01:08:07,71.69
69,fu,MJ016,5,371183893,3257,starsolo,0 days 00:13:26,16.46
70,retina,F2,5,164215356,3611,velocyto,0 days 00:54:08,71.28
71,fu,MJ016,3,371183893,3257,starsolo,0 days 00:16:09,16.46
72,fu,MJ016,4,371183893,3257,velocyto,0 days 01:07:42,71.68
73,fu,MJ006,1,261601723,10320,starsolo,0 days 00:25:11,16.46
74,fu,MJ016,1,371183893,3257,alevin-fry,0 days 00:07:42,10.41
75,retina,F2,4,164215356,3611,tidesurf,0 days 00:28:57,19.44
76,fu,MJ016,1,371183893,3257,tidesurf,0 days 01:09:45,38.36
77,fu,MJ016,3,371183893,3257,tidesurf,0 days 01:09:45,39.08
78,retina,F2,2,164215356,3611,alevin-fry,0 days 00:07:11,7.42
79,fu,MJ006,4,261601723,10320,alevin-fry,0 days 00:08:03,10.77
80,retina,F2,5,164215356,3611,starsolo,0 days 00:08:06,15.00
81,fu,MJ016,5,371183893,3257,velocyto,0 days 01:08:32,71.69
82,retina,F2,3,164215356,3611,starsolo,0 days 00:08:03,15.01
83,pancreas,pancreas,1,556154708,13041,tidesurf,0 days 04:19:06,96.29
84,pancreas,pancreas,4,556154708,13041,tidesurf,0 days 04:05:26,92.59
85,pancreas,pancreas,1,556154708,13041,starsolo,0 days 00:35:14,15.44
86,fu,MJ016,3,371183893,3257,velocyto,0 days 01:08:05,71.69
87,fu,MJ006,2,261601723,10320,starsolo,0 days 00:25:18,16.46
88,fu,MJ016,2,371183893,3257,starsolo,0 days 00:13:22,16.44
89,fu,MJ016,4,371183893,3257,starsolo,0 days 00:13:32,16.44
90,fu,MJ006,1,261601723,10320,velocyto,0 days 02:23:47,71.45
91,fu,MJ016,1,371183893,3257,velocyto,0 days 01:09:30,71.42
92,pancreas,pancreas,3,556154708,13041,velocyto,0 days 04:23:54,70.31
93,pancreas,pancreas,3,556154708,13041,alevin-fry,0 days 00:19:36,7.31
94,pancreas,pancreas,4,556154708,13041,velocyto,0 days 04:28:27,70.34
95,stewart,Classical-Memory,4,110473261,1992,starsolo,0 days 00:04:36,16.32
96,stewart,Classical-Memory,3,110473261,1992,alevin-fry,0 days 00:02:54,10.25
97,fu,MJ016,3,371183893,3257,alevin-fry,0 days 00:07:33,10.43
98,fu,MJ016,5,371183893,3257,tidesurf,0 days 01:09:30,39.74
99,pancreas,pancreas,5,556154708,13041,alevin-fry,0 days 00:19:14,7.36
